classification	product_files	swept_files	sha	patch_id	ref
ALREADY_PRESENT	0	1	a8152c2db85b	61ece7b1fa88	refs/orch-rescue/20260805T023833-claude-orchestrator-a8152c2d
ALREADY_PRESENT	0	2	8b28e782ef4d	52bd4d2392bd	refs/orch-rescue/20260805T024042-claude-orchestrator-8b28e782
ALREADY_PRESENT	0	2	4be71dac4ebe	31524ad129b3	refs/orch-rescue/20260805T030750-claude-orchestrator-4be71dac
ALREADY_PRESENT	0	2	ceada4c838b7	31524ad129b3	refs/orch-rescue/20260805T032053-claude-orchestrator-ceada4c8
ALREADY_PRESENT	0	1	fa6ef62ad8b9	1e2fae1809c3	refs/orch-rescue/20260805T040044-claude-orchestrator-fa6ef62a
ALREADY_PRESENT	0	2	3ab44a432ca5	588f92f3caf6	refs/orch-rescue/20260805T051923-claude-orchestrator-3ab44a43
ALREADY_PRESENT	0	2	586e822e3d28	b24f95cac69e	refs/orch-rescue/20260805T052801-claude-orchestrator-586e822e
ALREADY_PRESENT	0	1	3a1b22affb58	c26defc0d6a7	refs/orch-rescue/20260805T114744-claude-orchestrator-3a1b22af
ALREADY_PRESENT	0	1	a659f77722eb	bf16941a4e6d	refs/orch-rescue/20260805T124251-claude-orchestrator-a659f777
ALREADY_PRESENT	0	2	979e9a08863a	5abdabae6dea	refs/orch-rescue/20260805T124813-claude-orchestrator-979e9a08
ALREADY_PRESENT	0	1	c59283e8d5fb	fa1c38d022d0	refs/orch-rescue/20260805T140553-claude-orchestrator-c59283e8
ALREADY_PRESENT	1	3	1c8d90eae862	a91a26d6ffb1	refs/orch-rescue/20260805T144918-claude-orchestrator-1c8d90ea
ALREADY_PRESENT	0	2	52f88db9fddb	07e4f7e4eaa0	refs/orch-rescue/20260805T145450-claude-orchestrator-52f88db9
ALREADY_PRESENT	0	1	423c51ca9ad9	f7952d075716	refs/orch-rescue/20260805T145454-deployfix-beethoven-07190338-fix-and-verify-vercel-production-build-423c51ca
ALREADY_PRESENT	0	1	6f840dc26848	e0f437720d00	refs/orch-rescue/20260805T150620-deployfix-beethoven-07190338-fix-and-verify-vercel-production-build-6f840dc2
ALREADY_PRESENT	0	2	992a26591094	00df1b6f5164	refs/orch-rescue/20260805T152502-claude-orchestrator-992a2659
ALREADY_PRESENT	0	2	964c2ad38cb6	966ec501a28f	refs/orch-rescue/20260805T153237-claude-orchestrator-964c2ad3
ALREADY_PRESENT	0	2	8cfbb21a4d12	228aed377bf9	refs/orch-rescue/20260805T154325-claude-orchestrator-8cfbb21a
ALREADY_PRESENT	0	2	036682bdd5fb	228aed377bf9	refs/orch-rescue/20260805T165205-claude-orchestrator-036682bd
ALREADY_PRESENT	0	2	8ba79ad60cf7	228aed377bf9	refs/orch-rescue/20260805T170246-claude-orchestrator-8ba79ad6
ALREADY_PRESENT	0	3	bd20bd71196e	1845b6308cbf	refs/orch-rescue/20260805T171212-claude-orchestrator-bd20bd71
ALREADY_PRESENT	0	3	c983f6708f1a	226e38f0900b	refs/orch-rescue/20260805T172137-claude-orchestrator-c983f670
ALREADY_PRESENT	1	1	3a1f3191f68b	e3d81a488245	refs/orch-rescue/20260805T183028-dropbox-beethoven-audit-addendum-two-session-reconciliation-read-wit-group-1-3a1f3191
ALREADY_PRESENT	5	5	f130aafb02da	5931d0b434e8	refs/orch-rescue/20260805T185103-dropbox-beethoven-audit-addendum-two-session-recon-slice-3-f130aafb
ALREADY_PRESENT	5	5	f130aafb02da	5931d0b434e8	refs/orch-rescue/20260805T191229-dropbox-beethoven-audit-addendum-two-session-recon-slice-5-f130aafb
ALREADY_PRESENT	2	2	deb420f94119	55252112a339	refs/orch-rescue/20260805T213902-backlog-batch-apparently-0d157dd-fix-render-decision-briefs-review-deb420f9
ALREADY_PRESENT	0	3	17f325c29368	96537a092e7b	refs/orch-rescue/20260805T230442-claude-orchestrator-17f325c2
ALREADY_PRESENT	0	3	81d5393fd833	edfbdac33999	refs/orch-rescue/20260805T231323-claude-orchestrator-81d5393f
ALREADY_PRESENT	0	3	f79f3997fa05	ba783e5d327e	refs/orch-rescue/20260806T002557-claude-orchestrator-f79f3997
ALREADY_PRESENT	0	3	4ceb54ffdf58	e47aacc73999	refs/orch-rescue/20260806T003901-claude-orchestrator-4ceb54ff
ALREADY_PRESENT	0	3	3873d56e4a03	81b5b5a9a653	refs/orch-rescue/20260806T015655-claude-orchestrator-3873d56e
ALREADY_PRESENT	0	3	f65f6a4fcf47	6278a989571a	refs/orch-rescue/20260806T020351-claude-orchestrator-f65f6a4f
ALREADY_PRESENT	0	2	552e4633c16e	9393cba55808	refs/orch-rescue/20260806T031019-claude-orchestrator-552e4633
ALREADY_PRESENT	0	3	f437dd0884d5	ed05fe74c3c7	refs/orch-rescue/20260806T031541-claude-orchestrator-f437dd08
ALREADY_PRESENT	0	4	22745970ef61	9993af4b8832	refs/orch-rescue/20260806T034619-claude-orchestrator-22745970
ALREADY_PRESENT	0	4	9625a20ddab2	a7e33b4f6a5e	refs/orch-rescue/20260806T040533-claude-orchestrator-9625a20d
ALREADY_PRESENT	0	4	6c08c19595b5	a7e33b4f6a5e	refs/orch-rescue/20260806T061512-abm-slice3-6c08c195
ALREADY_PRESENT	0	4	6c08c19595b5	a7e33b4f6a5e	refs/orch-rescue/20260806T065213-backlog-batch-beethoven-22ee5bc-convention-conformance-lints-implement-task-test-6c08c195
ALREADY_PRESENT	9	9	67a67851ae15	e864e711df5f	refs/orch-rescue/20260806T091253-perpetual-compliance-hedge-instrument-fix-ts-errors-and-run-tests-fix-typescript-67a67851
ALREADY_PRESENT	1	1	2ed62263a3a9	423276f3d436	refs/orch-rescue/20260806T100003-improve-missing-branch-auto-creator-slice-3-adapt-auto-branch-patch-2ed62263
ALREADY_PRESENT	0	2	8e99942e52bd	6005b821b0ee	refs/orch-rescue/20260806T155809-claude-orchestrator-8e99942e
ALREADY_PRESENT	0	1	23c252cb8604	8317c2f45666	refs/orch-rescue/20260806T161057-claude-orchestrator-23c252cb
ALREADY_PRESENT	0	2	0a8a7928b4da	ffebb28dcf2a	refs/orch-rescue/20260806T162327-claude-orchestrator-0a8a7928
ALREADY_PRESENT	0	2	f8e2d3a43d3e	ffebb28dcf2a	refs/orch-rescue/20260806T162954-claude-orchestrator-f8e2d3a4
ALREADY_PRESENT	2	2	5e34a435b117	16f0ce846946	refs/orch-rescue/20260806T162955-dropbox-hisanta-mastery-engine-grandma-rail-family-slice-1-5e34a435
ALREADY_PRESENT	0	2	de552aed591e	ffebb28dcf2a	refs/orch-rescue/20260806T163443-claude-orchestrator-de552aed
ALREADY_PRESENT	0	2	b23950e80979	d55ec90fa054	refs/orch-rescue/20260806T164925-claude-orchestrator-b23950e8
ALREADY_PRESENT	0	2	c4584f4a211f	fa9c3b66bfdc	refs/orch-rescue/20260806T171011-claude-orchestrator-c4584f4a
ALREADY_PRESENT	0	2	4ea6f692855e	55d279a86181	refs/orch-rescue/20260806T175747-claude-orchestrator-4ea6f692
ALREADY_PRESENT	0	2	02ff87cf572f	4db649be49b1	refs/orch-rescue/20260806T184530-claude-orchestrator-02ff87cf
ALREADY_PRESENT	0	2	c441cdfa2dc0	2d98d29fa252	refs/orch-rescue/20260806T185737-claude-orchestrator-c441cdfa
ALREADY_PRESENT	0	2	76d305990d07	639bc86d3b6d	refs/orch-rescue/20260806T190610-claude-orchestrator-76d30599
ALREADY_PRESENT	1	1	27ff8b2f1ce8	312119f52400	refs/orch-rescue/20260806T190913-backlog-batch-beethoven-22ee5bc-rework-pinned-express-lane-27ff8b2f
ALREADY_PRESENT	0	2	4344e0261e58	639bc86d3b6d	refs/orch-rescue/20260806T192231-claude-orchestrator-4344e026
ALREADY_PRESENT	0	2	786eee97a919	639bc86d3b6d	refs/orch-rescue/20260806T194426-claude-orchestrator-786eee97
ALREADY_PRESENT	0	2	64b962eee178	899b8878de7e	refs/orch-rescue/20260806T195445-claude-orchestrator-64b962ee
ALREADY_PRESENT	1	1	6aba7288e87b	70b4a99e9534	refs/orch-rescue/20260806T195448-dropbox-beethoven-audit-addendum-group-4-6aba7288
ALREADY_PRESENT	0	2	63fb72774a1a	899b8878de7e	refs/orch-rescue/20260806T200209-claude-orchestrator-63fb7277
ALREADY_PRESENT	0	2	b1270a51fc4d	0261d316ec7b	refs/orch-rescue/20260806T202611-claude-orchestrator-b1270a51
ALREADY_PRESENT	0	2	7f431893ddcf	f281d075d9d4	refs/orch-rescue/20260806T203335-claude-orchestrator-7f431893
ALREADY_PRESENT	0	2	f4cbb2e917e1	23d8b9ba2055	refs/orch-rescue/20260806T204030-claude-orchestrator-f4cbb2e9
ALREADY_PRESENT	0	2	61820d343d6e	23d8b9ba2055	refs/orch-rescue/20260806T210701-claude-orchestrator-61820d34
ALREADY_PRESENT	0	2	df5c80ed2776	a6cf8df0d69d	refs/orch-rescue/20260806T213003-claude-orchestrator-df5c80ed
ALREADY_PRESENT	0	2	53e64738e68b	3ea212eba1a5	refs/orch-rescue/20260806T214443-claude-orchestrator-53e64738
ALREADY_PRESENT	0	2	3e2afb979ecd	181e0fc02415	refs/orch-rescue/20260806T220245-claude-orchestrator-3e2afb97
ALREADY_PRESENT	0	2	33027b37455e	181e0fc02415	refs/orch-rescue/20260806T224235-claude-orchestrator-33027b37
ALREADY_PRESENT	0	2	89aa7a024f2a	7c28a51660f7	refs/orch-rescue/20260806T224936-claude-orchestrator-89aa7a02
ALREADY_PRESENT	0	2	66c8fe909ce8	7c28a51660f7	refs/orch-rescue/20260806T232413-claude-orchestrator-66c8fe90
ALREADY_PRESENT	0	2	278c72626ae9	7a462ebb78f8	refs/orch-rescue/20260806T233719-claude-orchestrator-278c7262
ALREADY_PRESENT	1	1	d105682243f8	b2186bb714ac	refs/orch-rescue/20260806T234145-backlog-batch-beethoven-18fa8e4-slice-1-d1056822
ALREADY_PRESENT	1	1	55f2d9594c1c	39a1832397d6	refs/orch-rescue/20260806T235317-is-merge-commit-55f2d959
ALREADY_PRESENT	0	2	65ec17b3721c	f294df7e2958	refs/orch-rescue/20260807T000742-claude-orchestrator-65ec17b3
ALREADY_PRESENT	0	1	d496179a18ec	f4492eaa7fd3	refs/orch-rescue/20260807T003641-claude-orchestrator-d496179a
ALREADY_PRESENT	0	129	3c9337d5c1d2	dd7c8809347b	refs/orch-rescue/20260807T003642-backlog-batch-beethoven-ccacb00-fix-failing-tests-identify-failing-tests-3c9337d5
ALREADY_PRESENT	0	2	332489a2a55f	f1f89b2f4fc9	refs/orch-rescue/20260807T004204-claude-orchestrator-332489a2
ALREADY_PRESENT	0	2	f806eb189168	f294df7e2958	refs/orch-rescue/20260807T015249-improve-competitive-scanner-slice-5-fix-dependencies-f806eb18
ALREADY_PRESENT	0	2	b4381691905f	f1f89b2f4fc9	refs/orch-rescue/20260807T023121-claude-orchestrator-b4381691
ALREADY_PRESENT	0	2	2a7695f783ed	f1f89b2f4fc9	refs/orch-rescue/20260807T023646-claude-orchestrator-2a7695f7
ALREADY_PRESENT	0	2	ebd26f063d0b	df750bc2ba4e	refs/orch-rescue/20260807T025725-claude-orchestrator-ebd26f06
ALREADY_PRESENT	0	2	1c7af6bb3d67	2decf75a3ef2	refs/orch-rescue/20260807T030230-claude-orchestrator-1c7af6bb
ALREADY_PRESENT	0	1	8f0a56079815	4cf6f23cb1e5	refs/orch-rescue/20260807T032745-claude-orchestrator-8f0a5607
ALREADY_PRESENT	0	2	af34e5d5a131	a65eb5ff84e6	refs/orch-rescue/20260807T123008-claude-orchestrator-af34e5d5
ALREADY_PRESENT	0	1	af3b22329eea	bb68dbc59f76	refs/orch-rescue/20260807T133245-claude-orchestrator-af3b2232
ALREADY_PRESENT	3	3	94bdeb808633	730d32568b64	refs/orch-rescue/20260807T134451-claude-orchestrator-94bdeb80
ALREADY_PRESENT	2	2	1ffc108266d1	cd06383f185f	refs/orch-rescue/20260807T174358-claude-orchestrator-1ffc1082
ALREADY_PRESENT	1	2	aff40f56e4d9	c66d29b3246d	refs/orch-rescue/20260808T180838-claude-orchestrator-aff40f56
ALREADY_PRESENT	1	2	03e292aff1fd	add0db841069	refs/orch-rescue/20260808T181404-claude-orchestrator-03e292af
ALREADY_PRESENT	0	1	3abd6ecf9629	27dcdb14225e	refs/orch-rescue/20260808T220815-claude-orchestrator-3abd6ecf
ALREADY_PRESENT	0	0	e83f4a0dfdd9	EMPTY	refs/orch-rescue/20260808T221343-claude-orchestrator-e83f4a0d
ALREADY_PRESENT	0	1	435ded846516	9fd37370f88c	refs/orch-rescue/20260808T223602-claude-orchestrator-435ded84
ALREADY_PRESENT	0	1	84e10f9c1b45	787d84ace20e	refs/orch-rescue/20260809T002255-claude-orchestrator-84e10f9c
ALREADY_PRESENT	0	1	e8cf009b2992	461bd1c0d72b	refs/orch-rescue/20260813T034441-claude-orchestrator-e8cf009b
ALREADY_PRESENT	0	1	eca9a9cb149a	807158f3466e	refs/orch-rescue/20260813T040705-claude-orchestrator-eca9a9cb
ALREADY_PRESENT	3	3	06849eb0c19a	cd18dcd3f9f5	refs/orch-rescue/20260813T040706-pareto-regime-06849eb0
ALREADY_PRESENT	4	4	19432f86d377	5b2ea7440348	refs/orch-rescue/20260813T041851-claude-orchestrator-19432f86
ALREADY_PRESENT	2	2	23f423040389	51c3818c9d6d	refs/orch-rescue/20260813T051504-chatgpt-local-reconcile-beethoven-fa5a31393f8a-23f42304
ALREADY_PRESENT	0	1	4331d4734a8b	4197fc62a4bb	refs/orch-rescue/20260813T054455-chatgpt-local-reconcile-beethoven-0481d68df58a-4331d473
ALREADY_PRESENT	2	3	6ef285bb9b32	bb219aeb247e	refs/orch-rescue/20260813T054455-claude-orchestrator-6ef285bb
